Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
59033,B002HQLY7S,AR89H8T4PVWSL,rumbull01,,0,5,1320192000,Awesome coffee,Purchasing this coffee was definatly worth it! Not only is it not that expensive but it tastes wonderful! Although you get 50 I had to purchase another box because my husband and I liked it so much.
514838,B007IVEP8C,A15VHPHU0V8GOH,"Judith A. Weller ""jw1917""",0,0,1,1345766400,Like Sugar Syrup,This has to be the worst product trying to pass itself off as caramel popcorn. I could taste no caramel or cinnamon. Just a bunch of watery sugar. Don't buy this product. Also it has a lot of unpopped kernels in it.
419751,B0029ZAOW8,A3CG7K9OQ5M0RI,reviewer,2,2,5,1278633600,Reviewer,"Can't rate this stuff highly enough, does as advertised, no let down as with sugar/caffeinated drinks.  There doesn't seem to be any addictive tendencies with 5-H-E which is nice.  I do not use this every day, great when driving to keep you alert behind the wheel.  Definitely the shizz.  Buy it.  Try it."
870,B000VKYKTG,A1C1Y0S6QPBM4W,R. Dzuris,0,0,5,1231286400,Great Buy,"These where great couldnt stop eating them.<br />Lowest priced anywhere and will buy even more next time.<br />Cant say enough about these, they where shipped faster than what I paid to have shipped also.<br />Thank you so much."
282582,B001EO5WZ4,A2MERSI1KHYIQB,"Kathy D. FERRELL ""Kat""",0,0,1,1325894400,Tastes Horrible!!!,Thank god amazon gave me my money back and I ordered some other Earl Grey Tea which I received today and it is great!  This tea tastes like it is old or something.  Do not buy this tea!!  Rated One star because they won't let me rate it no stars.
551806,B0042GXR8A,AR89H8T4PVWSL,Linda,0,0,1,1297641600,See's Candy,"I have always enjoyed See's Candy in the past.  However, this candy seemed old.  The color of the chocolates had a whiteish color like they have been packaged for a long time.  I was really disappointed with it.  Linda"
516873,B001SIXXWU,A3B1XBG7CMYK41,Roman,2,3,2,1322697600,Most of Jerky is dry and not fresh,Purchased this jerky with S&S discount after reading some good reviews and was very disapointed with the quality of meat.  About 80% of the pieces were very dry and hard - note that some of the package was good (primarily in the middle of the package) and some of it was too dry.
211680,B001UUOP8C,A15GK1KULYHI12,"BG in Chicago ""Kiril""",0,0,5,1344556800,Best and healthiest dog treats ever,"My dogs LOVE these treats, and I love them myself as they have few ingredients, all of them real food that I would readily consume myself. This is a wonderful product, try it out!"
463996,B001SB0HNA,A1KPALLWZ73M27,BeagleGrin,1,1,5,1302912000,"All around GREAT tasting sauce, not just for stir fry!","This is THE best Korean teriaki stir fry sauce EVER, I've used it for chicken and beef with a plethora of vegetables. It is GREAT. In a pinch, serve it over some spaghetti noodles or rice with chunked cooked leftover meats and veggies, and you have an ""instant better than takeout"" meal. I've taken boring chicken breast and have used this as a dip, and have also used it to liven up ""boring"" meals. It is good with other foods as well, for example it makes a great dipping sauce for won tons as well. Slightly sweet with the teriaki and kind of salty, and LOTs of garlic and whole sesame seeds (even though, I've been using this product for YEARS, I have noticed a decrease in the garlic an sesame seeds.)<br /><br />The ONLY problem is THIS: I get this at a local grocery, and when on sale I get two for 7 dollars. Not on sale they are still under five bucks a bottle!<br />I LOVE LOVE LOVE to shop Amazon, because WHY run out when you can have stuff delivered to you? It is all for convenience. HOWEVER, at $13.92 a pound (or about 10 bucks a bottle on here) I am going to be forced to drive the 4 minutes to my local grocery for this.<br />If I ever move and am forced to purchase online as the only way, I will do it. But for now, I'm making the drive. I can get 2 bottles for less than one on here. Sorry Amazon, it isn't YOU per say, but the seller who is offering this product is price jabbing.<br />Great sauce, but I wouldn't pay over 5 bucks a bottle for it, and certainly will NOT be paying 10 bucks a bottle for it."
146378,B00IUY,A3ET5C2A3CCNWJ,"Fred Worth ""Believer""",1,1,1,1328832000,The most bitter Hollandaise EVER!,"I've made my own Hollandaise for many years based on several recipes I was able to garner from some of the 5 star restaurant's chefs, and they were all palate pleasers. I decided to try a bottled one in order to save the time it takes to make it at home. After reading the 1st and only review for this product (which was a 5 star...I think the customer might have been trying to get someone else sucked into buying it!), I decided to try it. I purchased 4 jars. BIG mistake! This is the WORST TASTING Hollandaise I could ever imagine! Tried it at room temp, then tried heating it to see if the bitter taste would go away but to no avail. This stuff is horrible! The only nice thing about the product is the shape of the jar. I'm going to make a huge batch of my own home made Hollandaise and store it in the jars. Thought about giving the three unopened jars away, but I don't have any enemies I hate THAT much! I poured their contents down the toilet (hope it doesn't ruin my sewage system!) and thoroughly washed the bottles for my own use.<br />If you're looking to have a great Hollandaise sauce at home, I highly recommend you MAKE it at home!"
498736,B000HDK0DC,A1PMAOD2KBB10Z,Spiced Rum,1,1,5,1299715200,I love these pops!,"I am not a die hard candy person, but these are great!  They do cost a bit more; but they're not that much more.  And besides, you ARE putting it in your body, so I think you're worth it.<br /><br />They are made from real fruit extracts; ironic that that is so rare.  The taste has loads of flavor.  They taste like real fruit.  Nice and tart, not like that sicky sweet that I can't identify in the artificial flavored pops.  Blueberry and cherry are my favorite, but all are excellent.  While not health food, they are a healthier version of junk food.<br /><br />Enjoy!"
62579,B003V5HEXC,A371Z04GWURCYC,Rich Dolata Jr.,0,0,4,1338940800,Ok but I am not a fan of this chocolate - smells good when you open it though,Not bad but I wouldn't say as good as the hazel nut or vanilla nut but I am not really a chocolate fan. Like it but has to be good.
321702,B000F4094I,AQ88AZTV8PYC0,Anne L. Shepherd,4,,5,1156896000,A Little Bit of Britain,"Imagine that you are sitting  in a delightful British  tea- room , after a  busy afternoon .  The waitress arrives at your table with a tray , laden  with scones , sandwiches and cakes. In the middle of the tray is a steaming pot of hot tea .  Taylors of  Harrogate Tea Room  Blend  is exactly what would be served . Robust , hearty and full of flavor ,  this is just the  right  pick -me-up for the middle of the day .  I highly recommend it."
308512,BOOIHJ,A36FEPUTDN12KA,"a cute bear ""TNM""",0,7,5,1174176000,classy canned seafood,I love to eat canned seafood from Crown Prince and C P FANCY PINK CRAB MEAT AND FANCY WHITE  ARE THE BEST CANNED CRAB MEAT.
394353,B001E5E1LE,A30ZAP242J449S,Annnie ,1,1,5,1286236800,Simply Awesome...,"I was sceptical of the taste and texture of hemp before I bought it, but when mixed with raw milk, I love it! It has a gritty texture along with a mild and nutty flavor that is not too sweet and does NOT taste artificial like many whey proteins that are highly proceeded. This is done for the sake of the brainwashed consumer who thinks they need sugar (or fake sweeteners) to feel good. On top of that, it offers up a whopping 14 grams of fiber per serving --- not to mention it is an organic product! Nice! Nutiva makes fantastic products. I would recommend this product to anyone."
